point,coordinates,seeds,net_median,net_mean,net_ci95_low,net_ci95_high,net_after_idle_median,max_drawdown_worst,daily_cvar95_median,liquidations,bankrupt_fraction,fills_median,accepted_notional_median,hurdle,break_even,binding,limit_label
0,hedge.band_pct_nav=10.0|venue.execution_assumption=taker_only|margin.leverage=3.0|mix=balanced,2,0.12398,0.12398,-0.26328,0.51124,0.08466,0.0994,-0.00451,2,0.00,2944.5,12532699,0.1200,false,liquidation,demand_limited
1,hedge.band_pct_nav=10.0|venue.execution_assumption=taker_only|margin.leverage=3.0|mix=call_heavy,2,0.04977,0.04977,-0.75665,0.85619,0.01150,0.0504,-0.00480,1,0.00,2586.5,10143556,0.1200,false,liquidation,uneconomic
2,hedge.band_pct_nav=10.0|venue.execution_assumption=taker_only|margin.leverage=3.0|mix=put_heavy,2,0.17374,0.17374,-0.05354,0.40102,0.13536,0.1863,-0.00525,2,0.00,3057.0,14125471,0.1200,false,liquidation,capital_limited
3,hedge.band_pct_nav=10.0|venue.execution_assumption=taker_only|margin.leverage=10.0|mix=balanced,2,0.06254,0.06254,-0.48383,0.60892,0.02387,0.1080,-0.00465,11,0.00,2945.0,12546172,0.1200,false,liquidation,uneconomic
4,hedge.band_pct_nav=10.0|venue.execution_assumption=taker_only|margin.leverage=10.0|mix=call_heavy,2,0.05028,0.05028,-0.44315,0.54372,0.01116,0.0502,-0.00518,2,0.00,2586.5,10143556,0.1200,false,liquidation,uneconomic
5,hedge.band_pct_nav=10.0|venue.execution_assumption=taker_only|margin.leverage=10.0|mix=put_heavy,2,0.20723,0.20723,0.00791,0.40654,0.16516,0.1499,-0.00541,10,0.00,3067.0,14167114,0.1200,false,liquidation,demand_limited
6,hedge.band_pct_nav=10.0|venue.execution_assumption=conservative|margin.leverage=3.0|mix=balanced,2,-0.06384,-0.06384,-0.18542,0.05774,-0.09727,0.1846,-0.00809,4,0.00,2942.0,12548197,0.1200,false,liquidation,uneconomic
7,hedge.band_pct_nav=10.0|venue.execution_assumption=conservative|margin.leverage=3.0|mix=call_heavy,2,0.03284,0.03284,-0.71790,0.78359,-0.00501,0.0489,-0.00511,1,0.00,2584.5,10136952,0.1200,false,liquidation,uneconomic
8,hedge.band_pct_nav=10.0|venue.execution_assumption=conservative|margin.leverage=3.0|mix=put_heavy,2,0.18576,0.18576,-0.64862,1.02014,0.14714,0.2417,-0.00529,2,0.00,3053.0,14109836,0.1200,false,liquidation,capital_limited
9,hedge.band_pct_nav=10.0|venue.execution_assumption=conservative|margin.leverage=10.0|mix=balanced,2,-0.03563,-0.03563,-0.32846,0.25720,-0.07103,0.1627,-0.00579,9,0.00,2942.0,12545991,0.1200,false,liquidation,uneconomic
