candidate,fold,kind,from,to,data_from,sequence,depositor_net_return_annualized,max_drawdown,liquidations,fills,nav_end,mean_vol_bias,hedge_turnover_nav_per_30d,bankrupt
windows,train-1,Train,2021-01-01,2021-12-31,2020-01-01,0,0.22334,0.3252,0,8,1279178.98,0.1167,6.578,false
windows,train-2,Train,2022-01-01,2022-12-31,2020-12-30,1,0.15916,0.2808,0,12,1198954.93,0.0990,10.745,false
windows,train-3,Train,2023-01-01,2023-12-31,2021-12-30,2,0.12885,0.2577,0,13,1161061.14,0.0575,11.989,false
har-q0.25,train-1,Train,2021-01-01,2021-12-31,2020-01-01,3,2.04959,0.3532,0,12,3561992.53,0.3943,30.625,false
har-q0.25,train-2,Train,2022-01-01,2022-12-31,2020-12-30,4,0.18784,0.1970,0,13,1234794.81,0.1495,13.429,false
har-q0.25,train-3,Train,2023-01-01,2023-12-31,2021-12-30,5,0.68644,0.1952,0,13,1858055.80,0.1650,18.668,false
har-q0.35,train-1,Train,2021-01-01,2021-12-31,2020-01-01,6,2.23529,0.2112,0,12,3794118.47,0.3173,30.394,false
har-q0.35,train-2,Train,2022-01-01,2022-12-31,2020-12-30,7,0.08539,0.2436,0,13,1106741.04,0.1160,12.483,false
har-q0.35,train-3,Train,2023-01-01,2023-12-31,2021-12-30,8,0.44784,0.1846,0,13,1559798.63,0.1302,14.907,false
har-q0.45,train-1,Train,2021-01-01,2021-12-31,2020-01-01,9,1.64223,0.2002,0,10,3052788.73,0.3286,20.225,false
har-q0.45,train-2,Train,2022-01-01,2022-12-31,2020-12-30,10,-0.01988,0.2972,0,13,980121.10,0.0831,11.169,false
har-q0.45,train-3,Train,2023-01-01,2023-12-31,2021-12-30,11,0.35775,0.1783,0,13,1447182.29,0.1038,13.732,false
windows,validation-1,Validation,2024-01-01,2024-12-31,2022-12-30,12,0.25405,0.3019,0,13,1318532.19,0.0861,12.818,false
har-q0.25,validation-1,Validation,2024-01-01,2024-12-31,2022-12-30,13,0.85226,0.1231,0,13,2069232.63,0.1648,20.267,false
har-q0.35,validation-1,Validation,2024-01-01,2024-12-31,2022-12-30,14,0.63778,0.1229,0,13,1800000.09,0.1267,17.724,false
har-q0.45,validation-1,Validation,2024-01-01,2024-12-31,2022-12-30,15,0.45505,0.1342,0,13,1570680.10,0.0915,15.653,false
