candidate,fold,kind,from,to,data_from,sequence,depositor_net_return_annualized,max_drawdown,liquidations,fills,nav_end,mean_vol_bias,hedge_turnover_nav_per_30d,bankrupt
windows,train-1,Train,2024-05-01,2024-10-31,2023-05-03,0,0.08514,0.2491,0,6,1052563.23,0.2461,5.698,false
windows,train-2,Train,2024-11-01,2025-04-30,2023-10-31,1,0.67310,0.2489,0,5,1363437.51,0.2537,5.610,false
har-q0.25,train-1,Train,2024-05-01,2024-10-31,2023-05-03,2,0.42723,0.2452,0,7,1245519.19,0.2693,7.408,false
har-q0.25,train-2,Train,2024-11-01,2025-04-30,2023-10-31,3,1.12790,0.1231,0,6,1567766.22,0.4791,8.061,false
har-q0.35,train-1,Train,2024-05-01,2024-10-31,2023-05-03,4,0.16436,0.2518,0,7,1099662.32,0.0118,7.054,false
har-q0.35,train-2,Train,2024-11-01,2025-04-30,2023-10-31,5,1.11466,0.1278,0,6,1562149.23,0.3726,8.238,false
har-q0.45,train-1,Train,2024-05-01,2024-10-31,2023-05-03,6,-0.11280,0.2790,0,7,941451.99,0.0467,5.875,false
har-q0.45,train-2,Train,2024-11-01,2025-04-30,2023-10-31,7,0.63241,0.1188,0,4,1343860.58,0.2906,4.355,false
windows,validation-1,Validation,2025-05-01,2025-10-31,2024-04-29,8,-0.31110,0.3783,0,7,828728.83,0.0924,5.889,false
har-q0.25,validation-1,Validation,2025-05-01,2025-10-31,2024-04-29,9,-0.04081,0.2147,0,7,979215.22,0.1611,7.537,false
har-q0.35,validation-1,Validation,2025-05-01,2025-10-31,2024-04-29,10,-0.19385,0.2378,0,7,897065.21,0.1678,6.755,false
har-q0.45,validation-1,Validation,2025-05-01,2025-10-31,2024-04-29,11,-0.27685,0.3101,0,7,849251.86,0.0556,6.051,false
