ts_ms,dvol
1710028800000,80.12
1710115200000,83.02
1710201600000,78.08
1710288000000,77.5
1710374400000,74.58
1710460800000,76.7
1710547200000,75.73
1710633600000,75.93
1710720000000,74.08
1710806400000,76.61
1710892800000,77.73
1710979200000,75.26
1711065600000,72.46
1711152000000,73.68
1711238400000,72.62
1711324800000,76.25
1711411200000,75.39
1711497600000,75.78
1711584000000,76.53
1711670400000,73.11
1711756800000,74.93
1711843200000,76.64
1711929600000,73.81
1712016000000,74.37
1712102400000,72.45
1712188800000,72.31
1712275200000,71.96
1712361600000,72.3
1712448000000,77.43
1712534400000,76.25
1712620800000,73.69
1712707200000,72.32
1712793600000,68.42
1712880000000,66.94
1712966400000,72.95
1713052800000,71.99
1713139200000,70.48
1713225600000,70.88
1713312000000,70.72
1713398400000,69.98
1713484800000,70.4
1713571200000,71.98
1713657600000,72.05
1713744000000,69.37
1713830400000,64.16
1713916800000,62.44
1714003200000,59.29
1714089600000,55.12
1714176000000,54.69
1714262400000,56.79
1714348800000,55.33
1714435200000,59.81
1714521600000,61.22
1714608000000,56.77
1714694400000,55.88
1714780800000,56.89
1714867200000,58.65
1714953600000,55.57
1715040000000,53.76
1715126400000,55.43
1715212800000,52.17
1715299200000,54.27
1715385600000,54.17
1715472000000,54.52
1715558400000,56.13
1715644800000,56.23
1715731200000,58.61
1715817600000,57.49
1715904000000,55.26
1715990400000,56.67
1716076800000,57.32
1716163200000,61.94
1716249600000,58.59
1716336000000,56.8
1716422400000,53.18
1716508800000,52.29
1716595200000,52.21
1716681600000,53.73
1716768000000,53.91
1716854400000,54.76
1716940800000,53.24
1717027200000,53.27
1717113600000,51.99
1717200000000,50.68
1717286400000,51.11
1717372800000,52.77
1717459200000,53.95
1717545600000,55.62
1717632000000,51.87
1717718400000,50.02
1717804800000,50.34
1717891200000,51.79
1717977600000,50.88
1718064000000,52.49
1718150400000,50.56
1718236800000,49.23
1718323200000,48.56
1718409600000,48.03
1718496000000,47.9
1718582400000,48.81
1718668800000,50.06
1718755200000,48.6
1718841600000,48.28
1718928000000,47.11
1719014400000,46.43
1719100800000,48.23
1719187200000,50.96
1719273600000,48.14
1719360000000,47.05
1719446400000,47.94
1719532800000,45.4
1719619200000,43.47
1719705600000,45.44
1719792000000,44.71
1719878400000,42.33
1719964800000,45.36
1720051200000,47.53
1720137600000,48.98
1720224000000,48.21
1720310400000,50.99
