ts_ms,open,high,low,close
1710028800000,68480.01,70000,68221.13,69032.12
1710115200000,69032.8,72943.98,67112.21,72110.98
1710201600000,72110.98,73027.63,68603,71475.93
1710288000000,71473.43,73709.99,71337.3,73135.04
1710374400000,73135.04,73835.57,68454.47,71364.58
1710460800000,71364.58,72414.96,65565.7,69506.88
1710547200000,69514.87,70050,64774.05,65254.22
1710633600000,65254.22,68877.82,64505,68343.64
1710720000000,68354.29,68933.71,66562.65,67613.04
1710806400000,67609.39,68136.39,61506,61906.27
1710892800000,61902.57,68150,60771.14,67858.8
1710979200000,67855.88,68234.56,64525,65484.7
1711065600000,65478.98,66651.1,62258.36,63814.56
1711152000000,63814.56,66029.09,63013.19,63998.86
1711238400000,63998.87,67637.6,63785.57,67204.93
1711324800000,67212.69,71269.92,66381.84,69890.28
1711411200000,69895.6,71582.96,69269.69,69992.4
1711497600000,69994.9,71789.85,68369.62,69435.96
1711584000000,69437.16,71635.99,68841.01,70801.18
1711670400000,70804.06,70941.7,69036.95,69903.75
1711756800000,69903.74,70363.25,69569.03,69626.87
1711843200000,69623.86,71399.91,69587.86,71288.9
1711929600000,71291.5,71313.8,68055.15,69681.82
1712016000000,69681.85,69711,64521.61,65464.14
1712102400000,65472,66944.06,64500,65987.92
1712188800000,65984.18,69367.19,65073.95,68525.23
1712275200000,68528.69,68783.99,66000,67856.51
1712361600000,67856.51,69685,67469.19,68919.89
1712448000000,68919.57,70312,68846.23,69350.34
1712534400000,69350.36,72777,69037.33,71622.53
1712620800000,71616.31,71761.37,68200,69117.01
1712707200000,69115.79,71159.6,67463.07,70634.04
1712793600000,70638.4,71305.86,69530,70020.73
1712880000000,70020.71,71265.74,65110.31,67148.61
1712966400000,67148.62,69100,60822.01,64024.77
1713052800000,64021.36,65890.91,62150,65777.05
1713139200000,65764.56,66928.82,62315.08,63452.18
1713225600000,63452.18,64400,61645.09,63814.94
1713312000000,63814.94,64524.14,59648.33,61279.36
1713398400000,61275.73,64210,60816.07,63513.85
1713484800000,63514.84,65498.99,59573.32,63848.37
1713571200000,63841.96,65463.08,63121.15,64968.87
1713657600000,64960.82,65725.81,64250,64952.92
1713744000000,64952.92,67272.73,64520,66859.17
1713830400000,66856.07,67225.66,65823.66,66414.16
1713916800000,66418,67077.97,63542.56,64255.78
1714003200000,64255.77,65287.69,62747.18,64484.44
1714089600000,64484.44,64810,63287.76,63742.39
1714176000000,63742.39,63900,62389,63422
1714262400000,63422.34,64333.33,62743.81,63108.94
1714348800000,63109.76,64200,61741.01,63844.85
1714435200000,63845.01,64727.81,59040.3,60622.1
1714521600000,60621.2,60785.49,56500,58265.59
1714608000000,58267.81,59641.03,56903.79,59071.89
1714694400000,59070.3,63365.72,58821.05,62913.03
1714780800000,62913.03,64546,62565.82,63902.88
1714867200000,63902.88,64636.75,62908.34,64023.45
1714953600000,64023.45,65523.44,62704.48,63162.24
1715040000000,63161.35,64415.06,62252.64,62315.76
1715126400000,62315.75,63013.05,60851.04,61169.53
1715212800000,61169.53,63424.14,60601.6,63073.57
1715299200000,63073.55,63470,60150,60787.47
1715385600000,60787.99,61482,60450.13,60814.63
1715472000000,60814.64,61843.45,60576.05,61453.02
1715558400000,61453.01,63456.18,60738.51,62932.37
1715644800000,62927.44,63103.02,61024.51,61539.84
1715731200000,61539.7,66480,61299.57,66244.69
1715817600000,66244.68,66772.83,64588.5,65252.18
1715904000000,65252.17,67500,65113.46,67046.33
1715990400000,67046.34,67407.79,66624.06,66923.87
1716076800000,66923.87,67701.91,65852.02,66261.62
1716163200000,66260.04,71560.9,66057.03,71432.17
1716249600000,71432.16,71980,69146.01,70142.84
1716336000000,70142.88,70659.99,68887.52,69109.93
1716422400000,69109.93,70066.95,66259,67940.45
1716508800000,67932.79,69278.75,66587.91,68547.8
1716595200000,68545.52,69605.03,68487.44,69289.67
1716681600000,69289.69,69522,68097.38,68473.72
1716768000000,68470.8,70613.39,68210.12,69368.72
1716854400000,69366.31,69533.96,67194.59,68321.98
1716940800000,68321.99,68864.11,67081.66,67569.45
1717027200000,67569.44,69536.89,67092.91,68338.58
1717113600000,68338.58,69024.71,66584.47,67472.41
1717200000000,67473.07,67837.33,67371.28,67719.29
1717286400000,67719.29,68411,67260,67735.52
1717372800000,67731.14,70295.78,67568,68791
1717459200000,68791.04,71108.9,68542.37,70542.32
1717545600000,70541.68,71804.13,70356.49,71121.11
1717632000000,71120.65,71650.56,70093.98,70773.64
1717718400000,70773.63,71974.04,68298.55,69324.53
1717804800000,69326.71,69546.58,69126.22,69304.05
1717891200000,69303.8,69848.94,69123.99,69637.87
1717977600000,69641.08,70187.53,69141.51,69497.73
1718064000000,69495.97,69547.82,66018.69,67316.53
1718150400000,67316.52,70032,66883.32,68248.6
1718236800000,68248.59,68474.49,66200,66738.85
1718323200000,66746.46,67322.72,65005,66004.39
1718409600000,66004.36,66428.57,65800.86,66192
1718496000000,66192,66931.18,65999,66628.75
1718582400000,66629.38,67274.96,65050,66481.81
1718668800000,66481.81,66574.33,64010.01,65152.8
1718755200000,65150.9,65709.26,64635.48,64943.79
1718841600000,64945.67,66455.52,64500,64840.88
1718928000000,64840.89,65017.1,63300.93,64120.28
1719014400000,64120.28,64523.91,63910.01,64235.01
1719100800000,64235,64499.95,63125.75,63171.43
1719187200000,63169.36,63343.91,58414.28,60263
1719273600000,60262.16,62400,60217.36,61789.71
1719360000000,61794.47,62470,60656.8,60816.68
1719446400000,60818.86,62346.16,60546.94,61615.39
1719532800000,61611.43,62170.62,59868,60313.35
1719619200000,60312.36,61122.66,60273.8,60885.67
1719705600000,60884.44,62942.67,60611.01,62668.26
1719792000000,62669.14,63801.26,62448.46,62830.13
1719878400000,62830.94,63223.57,61000,62040.22
1719964800000,62039.44,62197.01,59332.76,60145.01
1720051200000,60145.01,60429.27,56709.73,57042.14
1720137600000,57036.45,57515.6,53499.9,56639.43
1720224000000,56634.53,58481.97,56020.32,58244.75
1720310400000,58240.36,58448.89,55717.23,55854.09
