ts_ms,open,high,low,close
1710028800000,1.587,1.6556,1.5181,1.5567
1710115200000,1.5564,1.5935,1.4786,1.5731
1710201600000,1.5725,1.6354,1.4307,1.5995
1710288000000,1.6002,1.6985,1.5748,1.6222
1710374400000,1.6223,1.6615,1.4703,1.5666
1710460800000,1.567,1.5822,1.3397,1.4919
1710547200000,1.4928,1.7167,1.4848,1.6333
1710633600000,1.6331,1.6369,1.4389,1.62
1710720000000,1.62,1.7523,1.5181,1.5208
1710806400000,1.5232,1.7358,1.43,1.6471
1710892800000,1.6452,1.7803,1.5013,1.7545
1710979200000,1.7539,1.95,1.7407,1.8287
1711065600000,1.8253,1.8324,1.685,1.7327
1711152000000,1.732,1.7384,1.6423,1.6456
1711238400000,1.6441,1.7828,1.6201,1.6793
1711324800000,1.6794,1.7471,1.6571,1.7047
1711411200000,1.7047,1.896,1.6966,1.8853
1711497600000,1.8852,2.1816,1.8555,2.0763
1711584000000,2.0728,2.164,1.9578,2.0228
1711670400000,2.0222,2.1473,1.9006,1.9043
1711756800000,1.9044,1.9561,1.8679,1.8809
1711843200000,1.8812,1.9257,1.8647,1.9144
1711929600000,1.9124,2.075,1.8032,1.9421
1712016000000,1.9412,2.0095,1.7263,1.7336
1712102400000,1.734,1.7673,1.6188,1.6682
1712188800000,1.6667,1.7436,1.6584,1.684
1712275200000,1.684,1.684,1.5418,1.6081
1712361600000,1.6096,1.645,1.6013,1.6251
1712448000000,1.6245,1.6684,1.6173,1.6425
1712534400000,1.6418,1.7226,1.619,1.711
1712620800000,1.7097,1.7185,1.5713,1.5742
1712707200000,1.5745,1.5841,1.4588,1.5211
1712793600000,1.5218,1.5603,1.4754,1.4907
1712880000000,1.4908,1.5143,1.0338,1.2402
1712966400000,1.2402,1.2463,0.8973,1.0644
1713052800000,1.0629,1.2094,1.0274,1.2
1713139200000,1.1997,1.2997,1.1161,1.1711
1713225600000,1.1724,1.2687,1.1059,1.225
1713312000000,1.2233,1.3578,1.1784,1.2596
1713398400000,1.2596,1.2874,1.1993,1.2572
1713484800000,1.253,1.3915,1.1344,1.3341
1713571200000,1.3333,1.4355,1.3053,1.4285
1713657600000,1.4285,1.4456,1.3409,1.3717
1713744000000,1.3716,1.441,1.3544,1.3937
1713830400000,1.3945,1.4176,1.3109,1.3259
1713916800000,1.3265,1.3495,1.2357,1.2504
1714003200000,1.2499,1.2653,1.1869,1.2241
1714089600000,1.2237,1.2296,1.1619,1.1743
1714176000000,1.1747,1.2313,1.1201,1.211
1714262400000,1.21,1.26,1.2057,1.2165
1714348800000,1.2157,1.2306,1.1668,1.1915
1714435200000,1.1927,1.2053,1.072,1.1429
1714521600000,1.1431,1.1651,1.0671,1.1459
1714608000000,1.1456,1.1605,1.0915,1.1215
1714694400000,1.1221,1.1459,1.042,1.1118
1714780800000,1.1126,1.1244,1.0624,1.0908
1714867200000,1.0908,1.122,1.04,1.0961
1714953600000,1.0971,1.1519,1.0787,1.093
1715040000000,1.093,1.1452,1.0757,1.08
1715126400000,1.0793,1.0831,1.0042,1.0099
1715212800000,1.0095,1.0404,0.9734,1.0258
1715299200000,1.026,1.1095,1.0018,1.0075
1715385600000,1.0075,1.0326,0.99,0.9939
1715472000000,0.9941,1.0201,0.9919,1.0037
1715558400000,1.0043,1.0145,0.9427,0.9689
1715644800000,0.9686,0.9763,0.8847,0.8962
1715731200000,0.897,1.052,0.8856,0.9922
1715817600000,0.9922,1.087,0.9758,1.0245
1715904000000,1.024,1.1093,1.0108,1.0764
1715990400000,1.0754,1.0902,1.0518,1.0817
1716076800000,1.0822,1.0909,1.0184,1.0273
1716163200000,1.0277,1.1515,1.0087,1.1473
1716249600000,1.1471,1.1728,1.1185,1.1414
1716336000000,1.1403,1.1541,1.081,1.1048
1716422400000,1.1052,1.133,1.01,1.0764
1716508800000,1.0742,1.0852,1.0317,1.0681
1716595200000,1.0675,1.0828,1.0384,1.0629
1716681600000,1.0621,1.0703,1.0222,1.0411
1716768000000,1.0416,1.0821,1.0309,1.0739
1716854400000,1.0727,1.0744,1.0133,1.0292
1716940800000,1.0298,1.0465,1.0066,1.0157
1717027200000,1.015,1.0342,0.98,1.0127
1717113600000,1.0127,1.033,0.9942,1.0222
1717200000000,1.0226,1.0356,1.0094,1.0233
1717286400000,1.023,1.038,1.0062,1.0171
1717372800000,1.0141,1.0556,1.013,1.0393
1717459200000,1.0393,1.0559,1.0121,1.0544
1717545600000,1.0542,1.1048,1.0466,1.1041
1717632000000,1.1041,1.1375,1.0855,1.1133
1717718400000,1.1131,1.1705,0.9863,1.0808
1717804800000,1.08,1.1705,1.0637,1.1044
1717891200000,1.1032,1.1291,1.0639,1.0935
1717977600000,1.0938,1.0962,1.031,1.0335
1718064000000,1.0332,1.0431,0.978,0.9925
1718150400000,0.992,1.0543,0.9565,1.0186
1718236800000,1.0185,1.0204,0.958,0.9656
1718323200000,0.9667,1.0024,0.9018,0.9295
1718409600000,0.9302,0.9587,0.926,0.9433
1718496000000,0.944,0.9694,0.9227,0.9691
1718582400000,0.9697,0.9845,0.86,0.8905
1718668800000,0.8905,0.894,0.7608,0.7997
1718755200000,0.7996,0.8756,0.7909,0.8655
1718841600000,0.8652,0.9239,0.8586,0.8936
1718928000000,0.8942,0.9517,0.8655,0.9201
1719014400000,0.9199,0.9244,0.8873,0.8904
1719100800000,0.8905,0.9431,0.8762,0.8805
1719187200000,0.8807,0.9,0.8055,0.8947
1719273600000,0.8944,0.9066,0.8691,0.8783
